instructor,rmp_rating,rmp_difficulty,rmp_num_ratings,rmp_take_again,rmp_url,rmp_dept,rmp_tags
"SYLVESTER, BRYANNA",3.6,3.4,390,62%,https://www.ratemyprofessors.com/professor/1634616,Chemistry,"TEST HEAVY, SKIP CLASS? YOU WON'T PASS., GRADED BY FEW THINGS, CLEAR GRADING CRITERIA, TOUGH GRADER, LOTS OF HOMEWORK, HILARIOUS, CARING"
"FINKELSTEIN, RUTH",2.0,4.5,111,7%,https://www.ratemyprofessors.com/professor/168264,Biology,"TEST HEAVY, TOUGH GRADER, LECTURE HEAVY, GRADED BY FEW THINGS, GET READY TO READ, HILARIOUS"
"GONZALES SMITH, MYRIAM",3.2,3.1,58,50%,https://www.ratemyprofessors.com/professor/857625,Languages,"GROUP PROJECTS, CARING, ACCESSIBLE OUTSIDE CLASS, PARTICIPATION MATTERS, TOUGH GRADER"
"YANG, FENGRUI",1.3,4.2,24,8%,https://www.ratemyprofessors.com/professor/3042220,Mathematics,"GRADED BY FEW THINGS, TEST HEAVY, TOUGH GRADER, LECTURE HEAVY, EXTRA CREDIT"
"RUTHERFORD, KEVIN",4.4,2.1,23,82%,https://www.ratemyprofessors.com/professor/2586194,Writing,"CARING, GROUP PROJECTS, GIVES GOOD FEEDBACK, CLEAR GRADING CRITERIA, INSPIRATIONAL, HILARIOUS, PARTICIPATION MATTERS, ONLINE SAVVY"
"GERMAN, ELAINE",4.6,1.5,14,100%,https://www.ratemyprofessors.com/professor/623673,Psychology,"HILARIOUS, AMAZING LECTURES, CLEAR GRADING CRITERIA, INSPIRATIONAL, CARING, LECTURE HEAVY"
"WINK, MATTHIAS",3.2,3.3,12,58%,https://www.ratemyprofessors.com/professor/3083884,Mathematics,"TEST HEAVY, GRADED BY FEW THINGS, TOUGH GRADER, CLEAR GRADING CRITERIA, LECTURE HEAVY, CARING, ACCESSIBLE OUTSIDE CLASS"
"RUSSELL, NADINE",2.4,3.6,10,20%,https://www.ratemyprofessors.com/professor/3085429,Economics,"BEWARE OF POP QUIZZES, GET READY TO READ, PARTICIPATION MATTERS, TEST HEAVY, GRADED BY FEW THINGS, LECTURE HEAVY, AMAZING LECTURES, TOUGH GRADER"
"SAKR, LAILA",3.0,2.3,3,33%,https://www.ratemyprofessors.com/professor/2678292,Film,"GET READY TO READ, PARTICIPATION MATTERS, GROUP PROJECTS, BEWARE OF POP QUIZZES, GRADED BY FEW THINGS"
"KHARITONOVA, YEKATERINA KATE",2.5,3.6,185,34%,https://www.ratemyprofessors.com/professor/2450605,Computer Science,"LOTS OF HOMEWORK, TOUGH GRADER, CARING, PARTICIPATION MATTERS, BEWARE OF POP QUIZZES, GROUP PROJECTS, LECTURE HEAVY, CLEAR GRADING CRITERIA, AMAZING LECTURES"
"HARTMAN, JOHN",2.1,3.8,183,24%,https://www.ratemyprofessors.com/professor/1112610,Economics,"TEST HEAVY, TOUGH GRADER, GRADED BY FEW THINGS, CLEAR GRADING CRITERIA, LECTURE HEAVY, LOTS OF HOMEWORK"
